product_id,sku,brand_name,product_name,merchandise_class,list_price,description
1,DRL10045,MILWAUKEE,M18 FUEL 1/2 in. Hammer Drill,POWER TOOLS,229.0,Brushless cordless hammer drill with REDLINK PLUS intelligence and an all-metal ratcheting chuck. Delivers 1200 in-lbs of torque for masonry and heavy timber.
2,DRL10046,DEWALT,20V MAX XR Brushless Drill/Driver,POWER TOOLS,199.0,Compact brushless drill driver with a two-speed transmission and an LED work light. Weighs 3.4 lbs for reduced fatigue during overhead work.
3,SAW20112,MAKITA,18V LXT Circular Saw 6-1/2 in.,POWER TOOLS,179.5,Cordless circular saw with an electric brake and a built-in dust blower. Cuts 2x material at 90 degrees in a single pass.
4,SAW20113,MILWAUKEE,M18 FUEL Reciprocating Saw,POWER TOOLS,249.0,Brushless reciprocating saw with adjustable orbital action and a tool-free blade change. Rated for demolition and nail-embedded wood.
5,HND30201,STANLEY,FatMax 25 ft Tape Measure,HAND TOOLS,24.99,Tape measure with a 13 ft standout and a BladeArmor coating on the first 3 inches to resist tearing. Includes a magnetic hook.
6,HND30202,ESTWING,16 oz Straight Rip Claw Hammer,HAND TOOLS,32.5,Forged one-piece steel hammer with a shock-reduction grip. Fully polished face and a straight rip claw for prying.
7,PNT40310,BEHR,Premium Plus Interior Eggshell 1 gal,PAINT,38.98,Paint and primer in one with a low-VOC formula. Covers up to 400 sq ft per gallon and resists mildew in bathrooms and kitchens.
8,PNT40311,PURDY,Nylox Angular Trim Brush 2-1/2 in.,PAINT,18.75,Angular sash brush with a Nylox blend for use with all paints. Holds a sharp edge for cutting in along trim and ceilings.
9,FST50420,SIMPSON,Strong-Tie Joist Hanger 2x8,FASTENERS,3.42,Galvanized joist hanger for 2x8 dimensional lumber. Load rated for residential floor and deck framing when installed with 10d nails.
10,FST50421,GRK,R4 Multi-Purpose Screw 3 in. 100ct,FASTENERS,27.15,Structural screw with a W-Cut thread and a CEE thread for self-countersinking. Climatek coated for exterior use without pre-drilling.
11,PLM60530,SHARKBITE,1/2 in. Push-to-Connect Coupling,PLUMBING,8.64,Push-fit coupling for copper, PEX, CPVC and HDPE. No solder, clamps or glue required and rated to 200 psi.
12,PLM60531,MOEN,Adler Single-Handle Kitchen Faucet,PLUMBING,129.0,Single-handle pulldown kitchen faucet in spot-resist stainless. Includes a 68 in. braided hose and a Duralast cartridge.
